Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,Avg f1_macro,Std dev between folds,Train-Test Gap,# Columns,Model Complexity,Fit Time
15,space_ga,2,kNN,Original Features,n_neighbors=10,0.4743952737581676,0.05954373739500186,0.2243759813104521,6,0,0.00718073844909668
15,space_ga,2,ikNN,Original Features,default,0.7679810251965407,0.041693903574880446,0.07613767160102525,6,0,1.5963294506072998
16,fri_c3_1000_10,2,kNN,Original Features,n_neighbors=5,0.7839122505755267,0.006837574924461471,0.0831831117944799,10,0,0.0033907413482666014
16,fri_c3_1000_10,2,kNN,Original Features,n_neighbors=10,0.7667643415178168,0.03234114340071951,0.05926807302208337,10,0,0.0035904407501220702
16,fri_c3_1000_10,2,ikNN,Original Features,default,0.8268865057539021,0.013143729336865823,0.06151876367379994,10,0,1.8763800144195557
17,fri_c1_1000_5,2,kNN,Original Features,n_neighbors=5,0.8870521120103823,0.025643820052229854,0.0545706947525717,5,0,0.002792501449584961
17,fri_c1_1000_5,2,kNN,Original Features,n_neighbors=10,0.8787466261561747,0.020414204626509558,0.04738695381100866,5,0,0.0029920101165771484
17,fri_c1_1000_5,2,ikNN,Original Features,default,0.8516890674057691,0.0160368334532231,0.044454887055554226,5,0,0.40990338325500486
18,fri_c3_500_5,2,kNN,Original Features,n_neighbors=5,0.855791443154556,0.03376023665794714,0.06862247962976686,5,0,0.0021938800811767576
18,fri_c3_500_5,2,kNN,Original Features,n_neighbors=10,0.8676315603805135,0.041545741577390015,0.034190596531376016,5,0,0.002792501449584961
18,fri_c3_500_5,2,ikNN,Original Features,default,0.8407783315600609,0.03326917622116334,0.0630868638677422,5,0,0.2632953643798828
19,pm10,2,kNN,Original Features,n_neighbors=5,0.5548646988519821,0.028385905946692016,0.16906630315729065,7,0,0.0021939754486083986
19,pm10,2,kNN,Original Features,n_neighbors=10,0.555477037979486,0.04431994692246812,0.09617734624897412,7,0,0.0027924060821533205
19,pm10,2,ikNN,Original Features,default,0.5106424908132876,0.03270977106912613,0.20458518224720523,7,0,0.5545165061950683
20,fri_c4_1000_10,2,kNN,Original Features,n_neighbors=5,0.7629249035833003,0.032368749594086504,0.08937728825858182,10,0,0.0033908367156982424
20,fri_c4_1000_10,2,kNN,Original Features,n_neighbors=10,0.7493953398771575,0.024691240523941654,0.06354039416874313,10,0,0.0031913280487060546
20,fri_c4_1000_10,2,ikNN,Original Features,default,0.8319285570973621,0.013203821677088652,0.04307329776122304,10,0,1.8662073135375976
21,meta,2,kNN,Original Features,n_neighbors=5,0.4518639009906484,0.04534409538612148,0.1875743500688994,19,0,0.0019946575164794924
21,meta,2,kNN,Original Features,n_neighbors=10,0.4669892309854773,0.06057784319949917,0.12864357769993817,19,0,0.0019945144653320313
21,meta,2,ikNN,Original Features,default,0.5210687300670666,0.1408873281779882,0.07689231515684136,19,0,1.2628214359283447
22,fri_c1_500_50,2,kNN,Original Features,n_neighbors=5,0.5698407708573257,0.03126944407974157,0.17804618010358053,50,0,0.002393341064453125
22,fri_c1_500_50,2,kNN,Original Features,n_neighbors=10,0.5889444997779096,0.017896193172633332,0.09066389628629512,50,0,0.0019945621490478514
22,fri_c1_500_50,2,ikNN,Original Features,default,0.8059873688261441,0.05984038879396529,0.06773427450863789,50,0,2.0265782833099366
