Model,Feature Engineering Description,Avg f1_macro,Avg. Train-Test Gap,Avg. Fit Time
kNN,Original Features,0.660812986845168,0.12691278816746582,0.006635952472686768
kNN,Arithmetic-based Features,0.6342517374325977,0.1342710985355823,13.813189219474793
ikNN,Original Features,0.721445675039332,0.07985468266044923,3.8021332626342774
ikNN,Arithmetic-based Features,0.7452059367093304,0.08369273587326229,80.48907591962814
