Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,Avg f1_macro,Std dev between folds,Train-Test Gap,# Columns,Model Complexity,Fit Time
12,rmftsa_ladata,2,kNN,Arithmetic-based Features,,0.7981186893958544,0.09349824533402504,0.07807502558479407,10,0,0.025302600860595704
12,rmftsa_ladata,2,ikNN,Original Features,,0.8453161747874374,0.12472132283836011,0.05025455517422439,10,0,1.7420664310455323
12,rmftsa_ladata,2,ikNN,Arithmetic-based Features,,0.8414085135728158,0.11585595105233921,0.056555092948747054,10,0,6.518407726287842
13,fri_c4_1000_25,2,kNN,Original Features,,0.6050611518947269,0.022967482615414564,0.16243607110103775,25,0,0.0064601898193359375
13,fri_c4_1000_25,2,kNN,Arithmetic-based Features,,0.546570049084463,0.015441814369803328,0.16737820981232088,25,0,2.810402250289917
13,fri_c4_1000_25,2,ikNN,Original Features,,0.8380665061549667,0.04373736269770849,0.058866419882308785,25,0,2.3598403930664062
13,fri_c4_1000_25,2,ikNN,Arithmetic-based Features,,0.8593692525595067,0.02039684041162546,0.04925180701323251,25,0,96.11210951805114
14,analcatdata_supreme,2,kNN,Original Features,,0.8544495889465757,0.19527143494476448,0.13970115468416178,7,0,0.015301752090454101
14,analcatdata_supreme,2,kNN,Arithmetic-based Features,,0.8545198455241552,0.1974248403234306,0.13649242562790043,7,0,0.029512929916381835
14,analcatdata_supreme,2,ikNN,Original Features,,0.8294677719544357,0.23354649958746138,0.1619737231141002,7,0,4.144148254394532
14,analcatdata_supreme,2,ikNN,Arithmetic-based Features,,0.8252965249157989,0.23242968991409066,0.16666408605905259,7,0,6.97651047706604
15,space_ga,2,kNN,Original Features,,0.49544645270447374,0.03832438687206712,0.2508179193412694,6,0,0.008278131484985352
15,space_ga,2,kNN,Arithmetic-based Features,,0.7855005622814412,0.029294737357713655,0.10863632365578091,6,0,0.04722609519958496
15,space_ga,2,ikNN,Original Features,,0.7679810251965407,0.041693903574880446,0.07613767160102525,6,0,1.7962951183319091
15,space_ga,2,ikNN,Arithmetic-based Features,,0.8011366523565068,0.020108586630866978,0.04562892825987441,6,0,10.585528945922851
16,fri_c3_1000_10,2,kNN,Original Features,,0.7839122505755267,0.006837574924461471,0.0831831117944799,10,0,0.00683746337890625
16,fri_c3_1000_10,2,kNN,Arithmetic-based Features,,0.662194696858615,0.033863037858815434,0.13369335011918926,10,0,0.053899192810058595
16,fri_c3_1000_10,2,ikNN,Original Features,,0.8268865057539021,0.013143729336865823,0.06151876367379994,10,0,2.143242597579956
16,fri_c3_1000_10,2,ikNN,Arithmetic-based Features,,0.8849785875748282,0.028318406432485756,0.04084528311762692,10,0,10.010046434402465
17,fri_c1_1000_5,2,kNN,Original Features,,0.8870521120103823,0.025643820052229854,0.0545706947525717,5,0,0.000598907470703125
17,fri_c1_1000_5,2,kNN,Arithmetic-based Features,,0.8038300447231992,0.018421178577100083,0.07936876054387765,5,0,0.008452463150024413
17,fri_c1_1000_5,2,ikNN,Original Features,,0.8516890674057691,0.0160368334532231,0.044454887055554226,5,0,0.4870863914489746
17,fri_c1_1000_5,2,ikNN,Arithmetic-based Features,,0.8781271830104942,0.022688988588847235,0.0368888483100992,5,0,3.2569319725036623
18,fri_c3_500_5,2,kNN,Original Features,,0.855791443154556,0.03376023665794714,0.06862247962976686,5,0,0.002827024459838867
18,fri_c3_500_5,2,kNN,Arithmetic-based Features,,0.8116897917061155,0.024895103289342975,0.07671298550371797,5,0,0.008077192306518554
18,fri_c3_500_5,2,ikNN,Original Features,,0.8407783315600609,0.03326917622116334,0.0630868638677422,5,0,0.30495872497558596
18,fri_c3_500_5,2,ikNN,Arithmetic-based Features,,0.8550723402538718,0.0494837981571866,0.04010385875828981,5,0,2.132402276992798
19,pm10,2,kNN,Original Features,,0.5548646988519821,0.028385905946692016,0.16906630315729065,7,0,0.002593231201171875
19,pm10,2,kNN,Arithmetic-based Features,,0.5344240952140953,0.010432969568503748,0.18941606790382848,7,0,0.008377742767333985
19,pm10,2,ikNN,Original Features,,0.5106424908132876,0.03270977106912613,0.20458518224720523,7,0,0.5896228313446045
19,pm10,2,ikNN,Arithmetic-based Features,,0.5070882596154906,0.08883135254000009,0.1962744811804794,7,0,3.5946449279785155
20,fri_c4_1000_10,2,kNN,Original Features,,0.7629249035833003,0.032368749594086504,0.08937728825858182,10,0,0.0035905838012695312
20,fri_c4_1000_10,2,kNN,Arithmetic-based Features,,0.6533435223526627,0.048916501424568014,0.13426262218271046,10,0,0.04069132804870605
20,fri_c4_1000_10,2,ikNN,Original Features,,0.8319285570973621,0.013203821677088652,0.04307329776122304,10,0,2.155091428756714
20,fri_c4_1000_10,2,ikNN,Arithmetic-based Features,,0.853155508354533,0.013798023158302811,0.043362177056638584,10,0,11.665694952011108
21,meta,2,kNN,Original Features,,0.4518639009906484,0.04534409538612148,0.1875743500688994,19,0,0.0029923439025878905
21,meta,2,kNN,Arithmetic-based Features,,0.4323329090647633,0.0482483097292291,0.21225384832082572,19,0,0.29481143951416017
21,meta,2,ikNN,Original Features,,0.5210687300670666,0.1408873281779882,0.07689231515684136,19,0,1.5460521697998046
21,meta,2,ikNN,Arithmetic-based Features,,0.4658160594101986,0.06035551867748915,0.10377325610369287,19,0,27.8371102809906
22,fri_c1_500_50,2,kNN,Original Features,,0.5698407708573257,0.03126944407974157,0.17804618010358053,50,0,0.0029919624328613283
22,fri_c1_500_50,2,kNN,Arithmetic-based Features,,0.491033535317918,0.021403569747705752,0.17637517229171645,50,0,38.289420700073244
22,fri_c1_500_50,2,ikNN,Original Features,,0.8059873688261441,0.05984038879396529,0.06773427450863789,50,0,4.305282974243164
22,fri_c1_500_50,2,ikNN,Arithmetic-based Features,,0.8425559417126788,0.040064298695493425,0.05320520322724254,50,0,316.5640255451202
23,strikes,2,kNN,Original Features,,0.6211390744828724,0.17475106589098205,0.22116572896166875,6,0,0.003988885879516601
23,strikes,2,kNN,Arithmetic-based Features,,0.631337959689604,0.19775628149007046,0.21318097434558936,6,0,0.009176158905029297
23,strikes,2,ikNN,Original Features,,0.6895398018042664,0.14349786854434873,0.1963920851453258,6,0,0.5134269714355468
23,strikes,2,ikNN,Arithmetic-based Features,,0.6540748977334948,0.1076096435835801,0.332709825406455,6,0,3.2307271480560305
24,quake,3,kNN,Original Features,,0.51097717886029,0.008699865647236325,0.17030107523039195,3,0,0.0045870780944824215
