Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,f1_macro,Train-Test Gap,# Columns,Model Complexity,Fit Time,Best Hyperparameters
88,kc2,1,kNN,,,0.645945945945946,0.05694159204797489,21,0,0.56,{'n_neighbors': 16}
88,kc2,1,ikNN,,,0.6880952380952381,0.06853917598273396,21,0,397.31,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 2, 'weight_by_score': False}"
89,kc1,1,kNN,,,0.5462366585039042,0.06460051170357617,21,0,0.64,{'n_neighbors': 8}
89,kc1,1,ikNN,,,0.5852700642239985,0.2724513180654182,21,0,889.25,"{'method': 'use proba', 'n_neighbors': 2, 'num_best_spaces': 16, 'weight_by_score': False}"
90,pc1,1,kNN,,,0.5487012987012987,0.15996723772205357,21,0,0.59,{'n_neighbors': 2}
90,pc1,1,ikNN,,,0.5419518377693283,0.3278605386714192,21,0,566.46,"{'method': 'use proba', 'n_neighbors': 2, 'num_best_spaces': 4, 'weight_by_score': False}"
91,PizzaCutter1,1,kNN,,,0.4796238244514107,-0.00012855631260949574,37,0,0.46,{'n_neighbors': 16}
91,PizzaCutter1,1,ikNN,,,0.5970121381886088,0.15379835696855682,37,0,589.87,"{'method': 'use proba', 'n_neighbors': 2, 'num_best_spaces': 2, 'weight_by_score': False}"
92,PizzaCutter3,1,kNN,,,0.4716599190283401,0.1386904185947248,37,0,0.64,{'n_neighbors': 4}
92,PizzaCutter3,1,ikNN,,,0.4684317718940937,0.3045144936630093,37,0,768.82,"{'method': 'use proba', 'n_neighbors': 2, 'num_best_spaces': 2, 'weight_by_score': True}"
93,PieChart1,1,kNN,,,0.4794117647058823,-0.0027021512271905856,37,0,0.66,{'n_neighbors': 4}
93,PieChart1,1,ikNN,,,0.670956670956671,0.13521926842925913,37,0,599.39,"{'method': 'use proba', 'n_neighbors': 2, 'num_best_spaces': 4, 'weight_by_score': False}"
94,PieChart2,1,kNN,,,0.4932249322493225,0.001797692185066646,36,0,0.62,{'n_neighbors': 4}
94,PieChart2,1,ikNN,,,0.4932249322493225,0.001797692185066646,36,0,604.46,"{'method': 'simple majority', 'n_neighbors': 2, 'num_best_spaces': 2, 'weight_by_score': True}"
95,PieChart3,1,kNN,,,0.4756376505114151,0.14388604387930054,37,0,0.59,{'n_neighbors': 2}
95,PieChart3,1,ikNN,,,0.5711130913176552,0.008052901021989856,37,0,645.15,"{'method': 'simple majority', 'n_neighbors': 8, 'num_best_spaces': 2, 'weight_by_score': True}"
96,banknote-authentication,1,kNN,,,1.0,0.0,4,0,0.35,{'n_neighbors': 2}
96,banknote-authentication,1,ikNN,,,0.967393464865659,0.02965485491404063,4,0,95.75,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 8, 'weight_by_score': False}"
97,blood-transfusion-service-center,1,kNN,,,0.5359801488833746,0.17087338062854696,4,0,0.27,{'n_neighbors': 2}
97,blood-transfusion-service-center,1,ikNN,,,0.49673202614379086,0.27988226572017816,4,0,63.23,"{'method': 'use proba', 'n_neighbors': 2, 'num_best_spaces': 2, 'weight_by_score': True}"
98,ilpd,1,kNN,,,0.5651845130066545,0.09287019823954612,50,0,1.58,{'n_neighbors': 16}
98,ilpd,1,ikNN,,,0.8185776487663279,0.10014562021991646,50,0,454.51,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 2, 'weight_by_score': True}"
99,qsar-biodeg,1,kNN,,,0.808139534883721,0.018031676783445083,41,0,1.56,{'n_neighbors': 8}
99,qsar-biodeg,1,ikNN,,,0.7904761904761904,0.028857935868411344,41,0,503.74,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 2, 'weight_by_score': True}"
